Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2024,Kris Abrams-Draine,Missouri,CB,71.38,179,8.63,31.00,,4.44,,33.5,,,,
2024,Isaiah Adams,Illinois,OG,76.00,315,9.00,33.88,,5.22,,24.5,102,4.73,7.77,
2024,Rasheen Ali,Marshall (WV),RB,71.38,206,8.63,31.25,,,,,,,,
2024,Erick All,Iowa,TE,76.13,252,10.13,33.00,,,,,,,,
2024,Braelon Allen,Wisconsin,RB,73.00,235,9.25,31.25,,,26,32.0,117,,,
2024,Joe Alt,Notre Dame,OT,80.75,321,10.00,34.25,,5.05,,28.0,112,4.51,7.31,
2024,Kiran Amegadjie,Yale,OG,77.00,323,9.63,36.13,,,,,,,,
2024,Daijahn Anthony,Mississippi,SS,71.75,195,9.00,32.50,,4.55,,37.0,116,,,
2024,Terrion Arnold,Alabama,CB,72.00,189,8.88,31.63,,4.50,,37.0,129,,,
2024,Gottlieb Ayedze,Maryland,OG,75.75,308,9.88,33.00,,5.01,,26.5,112,,,
2024,Emani Bailey,Texas Christian,RB,67.38,202,9.75,29.88,,4.61,,33.5,116,,,
2024,Javon Baker,Central Florida,WR,73.38,202,9.63,32.25,,4.54,,37.0,121,,,
2024,A.J. Barner,Michigan,TE,77.75,251,9.00,33.38,,,,,,,,
2024,Karsen Barnhart,Michigan,OG,76.63,306,9.88,33.38,,5.21,,,111,4.70,7.83,
2024,Michael Barrett,Michigan,ILB,71.25,233,8.50,32.13,,,,,,,,
2024,Graham Barton,Duke,OT,76.75,313,9.38,32.88,,,,,,,,
2024,Cooper Beebe,Kansas State,OG,75.25,322,9.25,31.50,,5.03,,27.5,109,4.61,7.44,
2024,Jaheim Bell,Florida State,FB,73.75,241,10.00,33.00,,4.61,,35.0,124,,,
2024,Trey Benson,Florida State,RB,72.38,216,9.25,31.50,,4.39,,33.5,122,,,
2024,JD Bertrand,Notre Dame,ILB,73.00,235,9.75,30.63,,,20,,,,,
2024,Tatum Bethune,Florida State,ILB,71.63,229,10.00,32.38,,,16,,,,,
2024,Keaton Bills,Utah,OG,76.63,321,10.00,32.50,,5.38,,29.5,101,4.90,7.95,
2024,Cole Bishop,Utah,FS,73.75,206,9.50,29.75,,4.45,,39.0,124,,,
2024,Austin Booker,Kansas,DE,76.63,240,9.25,33.88,,4.79,,32.5,120,,,
2024,Tanor Bortolini,Wisconsin,C,75.88,303,10.00,31.50,,4.94,,32.5,112,4.28,7.16,
2024,Brock Bowers,Georgia,TE,75.13,243,9.75,32.75,,,,,,,,
2024,Beau Brade,Maryland,FS,71.75,203,10.13,31.00,,,,,,,,
2024,Millard Bradford,Texas Christian,FS,70.63,191,9.00,31.25,,4.42,15,38.5,124,,,
2024,Chris Braswell,Alabama,OLB,75.25,251,9.38,33.25,,4.60,,33.5,115,,,
2024,Jonathon Brooks,Texas,RB,72.00,216,9.25,31.50,,,,,,,,
2024,Jarvis Brownlee,Louisville,CB,70.00,194,9.00,31.25,,,,,,,,
2024,Javon Bullard,Georgia,FS,70.63,198,9.00,30.75,,4.47,,,,,,
2024,Calen Bullock,Southern California,SS,74.25,188,9.00,32.50,,4.48,,,,,,
2024,Jermaine Burton,Alabama,WR,72.25,196,9.88,31.00,,4.45,,38.5,133,,,
2024,Solomon Byrd,Southern California,DE,74.75,255,9.75,33.63,,,,,,,,
2024,Jaylon Carlies,Missouri,SS,74.75,227,10.00,34.25,,4.50,20,32.5,125,,,
2024,Caelen Carson,Wake Forest,CB,72.25,199,8.25,31.38,,,,,,,,
2024,DeWayne Carter,Duke,DT,74.25,302,10.25,33.00,,4.99,,32.0,109,4.75,7.95,
2024,Aaron Casey,Indiana,ILB,72.63,231,9.38,32.75,,4.75,16,30.0,117,,,
2024,Nelson Ceaser,Houston,DE,74.63,254,10.25,33.63,,,,31.0,,4.57,7.30,
2024,Steele Chambers,Ohio State,OLB,72.50,226,9.25,30.50,,,,33.5,112,4.23,7.13,
2024,Javion Cohen,Miami (FL),OG,76.38,324,9.88,34.00,,,,26.5,104,,,
2024,Andrew Coker,Texas Christian,OT,78.75,315,9.50,34.00,,5.36,,25.5,94,4.93,7.95,
2024,Jalen Coker,Holy Cross (MA),WR,73.25,208,9.88,32.50,,4.57,,42.5,128,,,
2024,Myles Cole,Texas Tech,DE,77.88,278,9.88,36.88,,4.67,,35.0,120,,,
2024,Brandon Coleman,Texas Christian,OG,76.63,313,10.75,34.63,,4.99,,34.0,114,,,
2024,Keon Coleman,Florida State,WR,74.63,213,9.00,32.00,,4.61,,38.0,127,,,
2024,Junior Colson,Michigan,ILB,73.75,238,9.38,32.50,,,,,,,,
2024,Edgerrin Cooper,Texas A&M,OLB,74.00,230,9.75,34.00,,4.51,,34.5,118,,,
2024,Ryan Cooper,Oregon State,CB,71.25,184,8.75,30.50,,,,,,,,
2024,Malachi Corley,Western Kentucky,WR,70.63,215,9.13,32.13,,,,,,,,
2024,Blake Corum,Michigan,RB,67.63,205,9.00,28.88,,4.53,27,35.5,,,,
2024,Jacob Cowing,Arizona,WR,68.38,168,9.00,29.25,,4.38,,36.0,119,4.32,7.02,
2024,Frank Crum,Wyoming,OT,79.88,313,10.50,33.88,,4.94,,31.5,114,4.73,7.39,
